HGNC symbol	MIM morbid accession
SLAMF1	
OR2H2	
TTTY6	
FMO6P	
NLRP3P1	
	
TEX13B	
	
	
BTG3P1	
	
OR2H5P	
THAP12P6	
DEPDC1B	
B3GALNT1	
GRHL1	
DUSP8	
MIR1302-2HG	
RPL13AP	
VSIG1	
DDX11L1	
SGMS1-AS1	
GLI1	
WASH7P	
RAD21L1	
	
ART3	
FBN1	616914
FBN1	614185
FBN1	608328
FBN1	604308
FBN1	184900
FBN1	154700
FBN1	129600
FBN1	102370
CDHR1	613660
KRTAP5-AS1	
KRTAP5-1	
FHDC1	
KRTAP5-2	
STRN	
CASC21	
MTCYBP37	
	
CCAT2	
	
HNRNPC	
	
	
	
	
	
	
DLGAP2-AS1	
	
	
	
POU5F1B	
	
GGT1	231950
	
C2CD4D	
ERICH1	
IFIT1P1	
	
BRCA2	613347
BRCA2	613029
BRCA2	612555
BRCA2	605724
BRCA2	194070
BRCA2	189960
BRCA2	176807
BRCA2	155255
BRCA2	114480
THEM5	
C20orf144	
CD48	
CASC8	
	
PAIP1P1	
ACTL10	
RPS27AP19	
	
CRELD2	
HMGB3P10	
LY6G5B	
LINC02444	
PPP1R3D	
	
CLEC7A	614079
CLEC7A	613108
PLXNA1	
SETP9	
FAM217B	
TTC41P	
	
	
RPS17P11	
	
MFSD4BP1	
	
OXNAD1	
CSNK2B	
	
DSC1	
DLGAP2	
CAB39P1	
C12orf73	
TFRC	616740
	
GAS6	
ARHGAP9	
	
	
	
	
USP10	
HMGB1P31	
	
CFAP221	
	
	
	
RMDN3	
	
CYP21A2	201910
RETN	125853
LILRB5	
EIF4HP2	
	
SCN11A	615552
SCN11A	615548
RBM5-AS1	
LINC02580	
	
SEMA3F	
HLA-DMB	
ZFP36L2	
FRRS1	
	
ITGA1	
HSP90B1	
XG	
NCK2	
THEM4	
	
TMEM255B	
PLA2G2D	
	
	
LINC02445	
	
	
	
LINC02394	
	
	
DNAAF5	614874
CAPN7	
	
	
GAS6-AS1	
CFAP69	
	
SUGT1P2	
	
CNOT10-AS1	
	
CNOT10	
VENTXP3	
CCDC75P1	
JUN	
KIR3DL3	
PLD1	212093
HLA-DMA	
LINC01135	
SLC16A14	
	
	
CCDC117	
	
	
LINC00709	
HSP90AB7P	
	
ZC3H8	
	
	
	
CHP2	
	
PRKAR1B	
TNFRSF10C	
NADK2	616034
	
THADA	
	
MGAT4A	
DNM1P49	
ELOCP3	
CUX2P1	
	
NUTF2P7	
SOCS5P4	
	
DNAJB14	
SLC9A1	616291
GSS	266130
GSS	231900
CLCNKB	613090
CLCNKB	607364
	
	
SNTN	
PDZRN3	
	
NOD1	
RPSAP74	
	
	
FAM72D	
ITGA2	614200
ABCB8	
	
	
	
VPS51	
KRT18P37	
	
PLEKHA3	
PITHD1	
NKRF	
RPL27P12	
ATP6V0A2	278250
ATP6V0A2	219200
OLA1P3	
	
	
	
PFN1P8	
MLN	
SGTA	
JAZF1-AS1	
CASC11	
PITPNM3	600977
GPAT4	
TAX1BP1	
LINC01005	
YWHAQP5	
DLGAP3	
ZNF727	
GSTP1P1	
UBE2A	300860
NR4A2	168600
	
TEX33	
	
	
	
CCDC77	
	
ALG12	607143
	
	
IGHV3OR16-11	
IGHV3OR16-7	
SFTA1P	
TNFRSF10D	
IGHV3OR16-16	
SEMA3F-AS1	
ARHGAP23P1	
RBM6	
	
SMC1B	
MLLT1	
TRPC5OS	
	
TRBV28	
C3orf36	
	
PRDM5	614170
FAM90A9P	
	
ARSFP1	
	
R3HDM4	
	
CYP4V2	210370
PDZRN3-AS1	
ZFPL1	
NMD3	
	
RPL7P4	
ARL8B	
	
NPM1P51	
FAM138A	
THOC7-AS1	
ATP8B1	243300
ATP8B1	211600
ATP8B1	147480
	
LIMCH1	
	
SAA1	
	
LINC01358	
TRPC5	
	
	
	
	
	
KATNAL2	
	
PLEKHA5	
MARS	616280
MARS	615486
OSCAR	
	
CCT8	
PHBP3	
	
	
GINS4	
	
NADK2-AS1	
WFDC9	
CXCL10	
RPS7P10	
	
C3orf49	
TCEAL8	
	
MARK3P1	
ZC3H6	
	
	
KLKB1	612423
CXCL11	
	
WFDC10A	
	
	
TRIM60P17	
	
	
ETV6	616216
LSM2	
SLC38A4	
THOC7	
UGT2B27P	
CPA3	
NDUFB4P6	
	
	
EDEM1	
RBM38	
FGF9	612961
SLC5A12	
TRAPPC9	
PIMREG	
TMEM262	
MTND2P4	
MTATP6P18	
	
MTND3P2	
	
MTCO3P8	
	
	
	
MTND4LP2	
GUSBP6	
RPLP0P1	
	
	
	
CPB1	
MTND1P2	
SOCS2	
MTND4P2	
	
MTCO1P8	
RPL3P9	
VN1R37P	
	
MTCO2P8	
SNRPB2	
TM7SF2	
	
ZMYM6	
AGO4	
KDM5A	
SP140	
PIM2	
TST	
	
ELOCP2	
	
ACER1	
UQCR10	
PHF8	
FAM8A4P	
ELOA3B	
PGBD4P1	
	
	
	
ARSEP1	
ELOA3	
TRBV29-1	
ELOA3D	
FAM90A10P	
	
MPST	
ELOA2	
	
SLC25A44	
PADI4	180300
OR7A19P	
PIAS2	
	
LENG9	
	
KRT8P4	
C2orf78	
LENG8	
TRIM2	
PRRC2A	
	
CCNA1	
OR4G4P	
OR4G11P	
DUPD1	
SF3A3	
OR4F5	
SOCS2-AS1	
	
PPIAP13	
	
	
CDK8	
TMEM35B	
BNIP3P31	
SEPT12	614822
ZNF729	
CICP27	
	
LINC01266	
	
	
RPSAP32	
	
	
SETP12	
ZNF676	
	
	
	
LINC02199	
	
HMGB1P30	
	
	
	
	
RPS2P7	
TYRO3	
	
	
	
	
BNIP3P30	
PPIAL4D	
	
	
LINC01790	
PRKCB	
LINC01016	
UBL4A	
	
	
	
WFDC11	
	
TALDO1	606003
LINC02564	
LINC00424	
	
	
SORD2P	
	
	
	
	
USH1C	602092
USH1C	276904
USH1C	276900
GIPC3	601869
EIF4EP4	
	
RIBC2	
	
	
	
	
JAZF1	
SNAP91	
	
WFDC13	
	
WFDC10B	
TBXA2R	614009
	
CNOT1	
LENG8-AS1	
NME1P1	
MTND3P1	
POLB	
FAM133B	
